RowID,CCNumber,CrimeDateTime,CrimeCode,Description,Inside_Outside,Post,Gender,Age,Race,Ethnicity,Location,New_District,Neighborhood,Latitude,Longitude,GeoLocation,PremiseType,Total_Incidents,x,y
175094,24K01608,2024-11-06 03:00:00,1A,HOMICIDE,O,512.0,M,36.0,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,N HOWARD ST,NORTHERN,REMINGTON,39.317807,-76.6198,"(39.317807,-76.6198)",GAS STATION                                       ,1,-76.6197999999999,39.3178070000001
175096,24K01623,2024-11-06 04:20:00,3C,ROBBERY - COMMERCIAL,I,512.0,DK,DK,DK, ,3000 N CHARLES ST,NORTHERN,CHARLES VILLAGE,39.32458,-76.617346,"(39.32458,-76.617346)",CONVENIENCE STORE                                 ,1,-76.6173459999999,39.32458
175097,24K01623,2024-11-06 04:20:00,3A,ROBBERY,I,512.0,M,36.0,WHITE,NOT_HISPANIC_OR_LATINO,3000 N CHARLES ST,NORTHERN,CHARLES VILLAGE,39.32458,-76.617346,"(39.32458,-76.617346)",CONVENIENCE STORE                                 ,1,-76.6173459999999,39.32458
175747,24K01698,2024-11-06 09:30:00,4A,AGG. ASSAULT,O,411.0,M,DK,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,E 33RD ST,NORTHEAST,EDNOR GARDENS-LAKESIDE,39.328551,-76.600495,"(39.328551,-76.600495)",SHED/GARAGE                                       ,1,-76.600495,39.3285510000001
175099,24K08107,2024-11-06 10:00:00,6G,LARCENY,O,312.0,M,50.0,WHITE,NOT_HISPANIC_OR_LATINO,100 W 25TH ST,EASTERN,OLD GOUCHER,39.317706,-76.619102,"(39.317706,-76.619102)",STREET                                            ,1,-76.6191019999999,39.317706
170076,24K01714,2024-11-06 10:57:00,6J,LARCENY,I,525.0,DK,DK,DK, ,E 33RD ST,NORTHERN,OAKENSHAWE,39.328477,-76.611003,"(39.328477,-76.611003)",UNKNOWN                                           ,1,-76.611003,39.3284770000001
174300,24K01704,2024-11-06 11:10:00,5A,BURGLARY,I,711.0,M,71.0,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,1800 N MOUNT ST,WESTERN,SANDTOWN-WINCHESTER,39.30918,-76.64487,"(39.30918,-76.64487)",OTHER/RESIDENTIAL                                 ,1,-76.64487,39.30918
170078,24K01723,2024-11-06 11:41:00,4E,COMMON ASSAULT,I,732.0,M,56.0,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,2200 REISTERSTOWN RD,WESTERN,MONDAWMIN,39.314289,-76.647788,"(39.314289,-76.647788)",SPECIALTY STORE                                   ,1,-76.6477879999999,39.314289
170080,24K01738,2024-11-06 13:30:00,4E,COMMON ASSAULT,I,325.0,M,17.0,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,2500 HARFORD RD,EASTERN,CLIFTON PARK,39.317807,-76.593977,"(39.317807,-76.593977)",SCHOOL                                            ,1,-76.5939769999999,39.3178070000001
175890,24K01738,2024-11-06 13:30:00,4E,COMMON ASSAULT,I,325.0,M,15.0,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,2500 HARFORD RD,EASTERN,CLIFTON PARK,39.317807,-76.593977,"(39.317807,-76.593977)",SCHOOL                                            ,1,-76.5939769999999,39.3178070000001
